"Subject 
(name of deposit data)"	age	gender
Japanese245	77	female
Japanese246	33	female
Japanese247	33	male
Japanese248	2	male
Japanese249	35	female
Japanese250	1,75	female
Japanese251	60	male
Japanese252	61	female
Japanese253	34	male
Japanese254	5	male
Japanese255	33	male
Japanese256	34	female
Japanese257	5	female
Japanese258	3	male
Japanese259	34	male
Japanese260	34	female
Japanese261	11	male
Japanese262	2	female
Japanese263	37	male
Japanese264	32	female
Japanese265	0,333333333	male
Japanese266	34	male
Japanese267	0,333333333	male
Japanese268	30	female
Japanese269	3	female
Japanese270	30	male
Japanese271	28	female
Japanese272	0,166666667	female
Japanese273	0,416666667	female
Japanese274	0,166666667	female
Japanese275	0,583333333	male
Japanese276	1	female
Japanese277	0,833333333	male
Japanese278	0,75	male
Japanese279	41	male
Japanese280	0,25	female
Japanese281	0,416666667	male
Japanese282	41	male
Japanese283	100	female
Japanese284	83	female
Japanese285	69	male
Japanese286	68	female
Japanese287	84	male
Japanese288	74	male
Japanese289	78	male
Japanese290	77	female
Japanese291	78	female
Japanese292	82	male
Japanese293	83	male
Japanese294	77	female
Japanese295	77	male
Japanese296	76	female
Japanese297	80	male
Japanese298	81	female
Japanese299	81	female
Japanese300	81	female
Japanese301	83	female
Japanese302	82	male
Japanese303	84	female
Japanese304	90	female
Japanese305	86	female
Japanese306	85	female
Japanese307	81	female
Japanese308	81	female
Japanese309	86	female
Japanese310	81	female
Japanese311	81	female
Japanese312	0,5	male
Japanese313	0,25	female
Japanese314	0,333333333	male
Japanese318	101	female
Japanese319	103	female
Japanese320	100	female
Japanese321	100	female
Japanese322	95	female
Japanese323	98	female
Japanese324	98	female
Japanese325	94	female
Japanese326	94	female
Japanese327	104	female
Japanese328	95	female
Japanese329	80	female
Japanese330	85	female
Japanese331	80	female
Japanese332	94	female
Japanese333	87	male
Japanese334	93	female
Japanese335	85	female
Japanese336	79	female
Japanese337	93	female
Japanese338	87	female
Japanese339	85	female
Japanese340	89	female
Japanese341	94	female
Japanese342	91	female
Japanese343	91	female
Japanese344	83	male
Japanese345	83	female
Japanese346	85	female
Japanese347	81	female
Japanese348	85	male
Japanese349	83	female
Japanese350	92	male
Japanese351	88	female
Japanese352	80	male
Japanese353	79	female
Japanese354	92	female
Japanese355	88	female
Japanese356	81	male
Japanese357	81	female
Japanese358	81	male
Japanese359	85	female
Japanese360	85	male
Japanese361	83	female
Japanese362	98	male
Japanese363	98	female
Japanese364	91	male
Japanese365	98	male
Japanese366	82	male
Japanese367	79	female
Japanese368	84	male
Japanese369	84	female
Japanese370	86	male
Japanese371	84	female
Japanese372	38	female
Japanese373	35	female
Japanese374	39	male
Japanese375	37	female
Japanese376	38	female
Japanese377	37	female
Japanese378	47	female
Japanese379	34	male
Japanese380	38	male
Japanese381	40	female
Japanese382	24	female
Japanese383	27	female
Japanese384	3	female
Japanese385	57	female
Japanese386	33	female
Japanese387	33	female
Japanese388	51	female
Japanese389	31	female
Japanese390	35	male
Japanese391	33	male
Japanese392	39	male
Japanese393	37	female
Japanese394	5	male
Japanese395	37	female
Japanese396	3	female
Japanese397	39	male
Japanese398	41	female
Japanese399	5	female
Japanese400	36	female
Japanese401	1,5	male
Japanese402	32	male
Japanese403	31	female
Japanese404	5	female
Japanese405	38	female
Japanese406	28	female
Japanese407	39	male
Japanese408	0,92	male
Japanese409	27	female
Japanese410	39	male
Japanese411	40	male
Japanese412	52	female
Japanese413	37	male
Japanese414	25	female
Japanese415	29	female
Japanese416	23	male
Japanese417	30	female
Japanese418	27	female
Japanese419	52	female
Japanese420	53	female
Japanese421	32	female
Japanese422	42	female
Japanese423	37	male
Japanese424	30	female
Japanese425	64	male
Japanese426	58	male
Japanese427	38	female
Japanese428	72	male
Japanese429	78	female
Japanese430	76	male
Japanese431	79	male
Japanese432	66	female
Japanese433	76	female
Japanese434	64	female
Japanese435	68	male
Japanese436	52	female
Japanese437	75	male
Japanese438	73	male
Japanese439	79	female
Japanese440	66	female
Japanese441	66	female
Japanese442	68	female
Japanese443	71	male
Japanese444	80	female
Japanese445	81	female
Japanese446	71	male
Japanese447	64	female
Japanese448	71	female
Japanese449	69	female
Japanese450	68	female
Japanese451	73	female
Japanese452	77	female
Japanese453	74	female
Japanese454	84	male
Japanese455	67	female
Japanese456	68	female
Japanese457	72	female
Japanese458	71	female
Japanese459	68	male
Japanese460	0,3	male
Japanese461	2	female
Japanese462	36	female
Japanese463	52	female
Japanese464	66	female
Japanese465	35	male
Japanese466	32	female
Japanese467	31	female
Japanese468	53	male
Japanese469	52	male
